i,dt,dir,score,comps,regime,exit_reason,r,mfe_r,mae_r,bars,cf
285,2017-10-03 20:00,L,15,BVST-P--,MOM,TIME,0.09150476859508179,0.49756124807773916,0.9300210244443723,20,CF_TP2
753,2017-12-20 20:00,S,14,BV-T-PCO,MOM,BE,0.4925487886931833,1.152207975853626,0.383225517980453,4,CF_TP2
835,2018-01-03 12:00,L,14,BV-TFP--,MOM,BE,0.48967609280611724,1.4356374978251165,0.7476341911197896,29,CF_SL
953,2018-01-23 04:00,S,14,BV-T-PCO,MOM,SL,-1.0073504435527845,0.23057590494738966,1.031944133431933,11,CF_SL
1199,2018-03-06 08:00,S,15,BVST-P--,MOM,TP2,1.7279220554125119,3.248060968145486,0.831065745327302,8,CF_TP2
1323,2018-03-27 00:00,S,14,BV-TFP--,MOM,TP2,1.736167905636267,2.6855373201473727,0.6534641707424783,33,CF_TP2
1705,2018-05-29 16:00,L,14,-VSTFP--,MOM,TIME,0.06344538763909147,0.7351514768280468,0.6913006785288223,20,CF_SL
1890,2018-06-29 20:00,L,15,BVST-P--,MOM,BE,0.4773948081251101,1.1941318013172126,1.1395596137015167,1,CF_TP2
1891,2018-06-30 00:00,L,14,BVST----,MOM,BE,0.4789758376806365,1.0237295729197813,0.5872959460596515,15,CF_TP2
2383,2018-09-20 04:00,L,16,BVST-P-O,MOM,BE,0.46646645290025424,2.222173867587572,0.4464802761781448,29,CF_SL
2714,2018-11-14 12:00,S,14,BVST----,MOM,BE,0.44762770038768324,4.498556819684021,1.3944909819402251,1,CF_TP2
2715,2018-11-14 16:00,S,15,BVST--C-,MOM,BE,0.46971364984867753,1.0783128793668142,2.137097708810295,1,CF_TP2
2913,2018-12-17 16:00,L,14,BV-T-PCO,MOM,TP2,1.7254905095766935,2.5209338780118045,0.7792354215099612,11,CF_TP2
2957,2018-12-25 00:00,S,17,BVST-PCO,MOM,TIME,0.3722930704874746,0.6584207603757275,1.1757783710557947,20,CF_SL
2979,2018-12-28 16:00,L,16,BVST-PC-,MOM,TIME,-0.6339973980545769,0.4089415403811005,0.9215796671689853,20,CF_SL
3230,2019-02-08 12:00,L,15,BVST--C-,MOM,BE,0.4458331876502265,3.4778891199635518,1.2042867470736627,1,CF_TP2
3231,2019-02-08 16:00,L,16,BVST--CO,MOM,TIME,-0.49963883181910906,0.6808397110675132,1.9092297412380472,20,CF_SL
3326,2019-02-24 12:00,S,15,BVST-P--,MOM,TIME,-0.27536934031949095,0.6465881781636763,2.3462714892293284,20,CF_SL
3438,2019-03-15 08:00,L,16,BVST-P-O,MOM,BE,0.4420360755671303,2.2895060223277413,0.5457243375175514,37,CF_TP2
3476,2019-03-21 16:00,L,15,B-STFP--,MOM,TIME,0.1556290185871675,0.4638746951586455,0.43774422514463623,20,CF_SL
3895,2019-05-30 20:00,S,16,BVST-PC-,MR,SL,-1.0191570010316742,0.5968316318584765,1.0528368085093962,14,CF_SL
3939,2019-06-07 04:00,L,14,-VST-PCO,MOM,SL,-1.018995230356118,0.3920745330558276,1.0647073784185628,16,CF_SL
4488,2019-09-06 20:00,L,14,B-STF---,MOM,TIME,-0.08740540656597326,0.6779440357293259,0.531310397065603,20,CF_SL
4673,2019-10-07 16:00,L,15,BVST-P--,MR,BE,0.4710975498540843,1.580473477053712,0.4265938412298337,11,CF_SL
4684,2019-10-09 12:00,L,14,BV-TF--O,MOM,SL,-1.0290379028981846,0.792894046100809,1.347342939215351,14,CF_SL
5020,2019-12-04 12:00,L,16,BVST-P-O,MR,SL,-1.023091641888996,0.8952404171112713,1.1584980988847973,2,CF_SL
5022,2019-12-04 20:00,S,16,BVST-P-O,MR,SL,-1.0219506352186116,0.2812251767810561,1.1798517250215441,11,CF_SL
5106,2019-12-18 20:00,L,17,BVSTF--O,MOM,TIME,-0.32692033805969023,0.5136784556893046,1.066919369981059,20,CF_SL
5199,2020-01-03 08:00,L,16,BVST-P-O,MR,TP2,1.7129088258160985,3.2540216173442347,0.6817489569770254,22,CF_TP2
5339,2020-01-26 16:00,L,14,BV-TFP--,MOM,TP2,1.7082640728915188,2.8462600962823443,0.5487955679027234,8,CF_TP2
5589,2020-03-08 12:00,S,15,BVST--C-,MOM,TP2,1.7208036194707164,2.5971588691857233,1.2406798484732582,4,CF_TP2
5705,2020-03-27 20:00,S,14,BV-TFP--,MR,BE,0.4848860403137486,1.2112891880628116,0.8236089983419421,15,CF_SL
5823,2020-04-16 12:00,L,16,BVST-P-O,MR,TIME,0.21441320724275845,0.7789392795647633,0.363433680100683,20,CF_TP2
6159,2020-06-11 12:00,S,17,BVST-PCO,MR,BE,0.46384812823137717,1.5603189005791642,1.052090257678994,1,CF_TP2
6186,2020-06-16 00:00,L,17,BVSTF-C-,MOM,SL,-1.0317512191416713,0.08934210736124128,1.099154125671149,11,CF_SL
6285,2020-07-02 12:00,S,15,BVST-P--,MR,TIME,-0.16168064715164193,0.8529647482245116,1.142466094228482,20,CF_SL
