i,dt,dir,score,comps,regime,exit_reason,r,mfe_r,mae_r,bars,cf
463,2017-11-02 12:00,S,14,BV-T-PCO,MOM,SL,-1.019742262947159,0.40717555211750667,1.031150067092924,6,CF_SL
502,2017-11-09 00:00,L,14,BV-T-PCO,MR,BE,0.4817743102467017,1.2881601777607832,0.6370537606380597,9,CF_SL
626,2017-11-29 16:00,S,15,BVST--C-,MOM,SL,-1.0093856383142377,0.7358128163781806,1.4453768441398795,14,CF_SL
1397,2018-04-08 08:00,L,14,BV-T-PCO,MR,BE,0.48024996998471775,1.5290227739278808,0.5369347722516545,6,CF_TP2
1891,2018-06-30 00:00,S,15,BVST-P--,MOM,REVERSE,-0.25954250238483173,0.4172815174292219,0.5778011352912543,2,CF_SL
1893,2018-06-30 08:00,L,15,BVST-P--,MOM,BE,0.48300859117371125,1.234362374103902,0.46288589028896404,34,CF_SL
2035,2018-07-24 04:00,L,14,BV-T-PCO,MR,TIME,-0.2881493496068423,0.6157526860530802,1.0120518478357536,20,CF_SL
2912,2018-12-17 12:00,L,14,BV-T-PCO,MOM,BE,0.4795254476989227,1.6142718468075505,0.8420330135369914,1,CF_TP2
2914,2018-12-17 20:00,L,14,BV-T-PCO,MOM,BE,0.4820171313461522,1.3730619421401504,0.5054678578208232,6,CF_TP2
2920,2018-12-18 20:00,L,14,BV-TF-C-,MOM,BE,0.48369150667995464,1.1453213683785568,1.233299965111546,6,CF_TP2
3326,2019-02-24 12:00,S,15,BVST---O,MOM,BE,0.486734565070103,1.6789300195079466,2.290064408437519,59,CF_OPEN
3627,2019-04-15 20:00,S,16,BVST--CO,MOM,SL,-1.021308890682414,0.43452138092692794,1.6977556949390589,13,CF_SL
3895,2019-05-30 20:00,S,14,BVST----,MOM,SL,-1.0133791494387274,0.7295621264395196,1.0594334901278448,7,CF_SL
4062,2019-06-27 16:00,S,15,BVST-P--,MOM,SL,-1.0101024285328588,0.4250921498777478,1.0409349791917684,13,CF_SL
4468,2019-09-03 12:00,L,14,BV-TFP--,MOM,SL,-1.0254806500137694,0.24940048010569973,1.1839356124557856,8,CF_SL
4493,2019-09-07 16:00,L,15,BVST-P--,MR,BE,0.47544209700398576,1.002134396712806,0.6362324643980478,10,CF_TP2
4516,2019-09-11 12:00,S,14,BV-T-PCO,MR,SL,-1.0241558735091543,0.39793922247722796,1.28254735892998,18,CF_SL
4648,2019-10-03 12:00,S,16,BV-TFPCO,MR,TIME,0.17236308318771076,0.46442948414594765,0.8093698291669637,20,CF_SL
4672,2019-10-07 12:00,L,14,BV-T-PCO,MR,BE,0.47527008927478503,1.0264923394893781,0.37113768726161633,7,CF_TP2
4848,2019-11-05 20:00,L,14,BV-TFP--,MR,BE,0.4686821764978044,1.0554629459883398,0.15807245368936274,6,CF_SL
5201,2020-01-03 16:00,L,17,BVST-PCO,MOM,TP2,1.7202961915090444,2.552674480208905,0.33474157735396226,20,CF_TP2
5319,2020-01-23 08:00,S,14,BV-T-PCO,MR,BE,0.47597488742205146,1.0667919786867306,0.4461130092689992,7,CF_SL
5553,2020-03-02 12:00,L,14,-VST-PCO,MOM,TIME,-0.013778524656451328,0.3993966930218296,0.5812412138513071,20,CF_SL
5589,2020-03-08 12:00,S,15,BVST---O,MOM,TP2,1.734971784750293,2.568230211506196,1.1080078912498177,19,CF_TP2
5735,2020-04-01 20:00,L,14,BV-T-PCO,MR,TP2,1.7275650534877909,3.1555791711437267,0.9628806534305628,27,CF_TP2
5804,2020-04-13 08:00,L,14,-VSTFP--,MOM,BE,0.4826128618062707,1.4050091402471394,0.7659672767725965,17,CF_TP2
5821,2020-04-16 04:00,L,15,BVST-P--,MR,BE,0.482593900173409,1.0373940642636013,1.2709380546103832,1,CF_TP2
5825,2020-04-16 20:00,L,14,BVST----,MOM,BE,0.4826811627170538,1.7089642064590715,0.5102125022182161,23,CF_TP2
6610,2020-08-25 16:00,S,16,BVST--CO,MOM,TIME,-0.8057430708994996,0.49372235059003305,0.9753770985620274,20,CF_SL
7118,2020-11-18 08:00,L,15,BV-TFPC-,MOM,TP2,1.7264092241287798,2.780347081028121,0.8141634977245844,19,CF_TP2
