th,window,stop,payoff,trades,winrate,pf,ret_pct,maxdd_pct
12,5,1.5,1.5,324,42.3,1.16,14.04,5.80
12,5,1.5,2.0,294,36.7,1.22,18.86,4.66
12,5,1.5,2.5,275,33.5,1.22,19.33,7.99
12,5,2.0,1.5,281,38.8,1.11,7.10,5.50
12,5,2.0,2.0,262,35.9,1.18,12.13,6.97
12,5,2.0,2.5,244,34.4,1.29,17.88,7.28
13,5,1.5,1.5,154,46.1,1.26,10.70,4.72
13,5,1.5,2.0,138,39.9,1.31,12.74,4.75
13,5,1.5,2.5,133,37.6,1.47,19.64,4.52
13,5,2.0,1.5,132,40.9,1.10,3.37,3.90
13,5,2.0,2.0,128,39.1,1.31,10.78,3.84
13,5,2.0,2.5,120,36.7,1.33,10.80,4.69
14,5,1.5,1.5,63,49.2,1.45,7.37,3.26
14,5,1.5,2.0,60,41.7,1.42,7.63,2.84
14,5,1.5,2.5,55,40.0,1.66,11.55,3.45
14,5,2.0,1.5,55,43.6,1.27,3.82,2.80
14,5,2.0,2.0,52,40.4,1.48,7.00,3.27
14,5,2.0,2.5,51,37.3,1.66,9.88,2.71
15,5,1.5,1.5,37,40.5,0.97,-0.36,3.27
15,5,1.5,2.0,36,38.9,1.21,2.41,2.55
15,5,1.5,2.5,33,33.3,1.19,2.21,2.38
15,5,2.0,1.5,33,45.5,1.23,2.08,2.64
15,5,2.0,2.0,31,41.9,1.43,3.90,3.60
15,5,2.0,2.5,30,36.7,1.50,4.60,3.03
12,8,1.5,1.5,405,41.0,1.08,8.34,6.67
12,8,1.5,2.0,364,34.9,1.07,7.34,6.83
12,8,1.5,2.5,335,32.5,1.12,12.21,9.16
12,8,2.0,1.5,342,36.8,0.99,-0.47,8.04
12,8,2.0,2.0,311,34.7,1.11,8.34,8.84
12,8,2.0,2.5,296,32.8,1.17,12.65,9.14
13,8,1.5,1.5,208,44.2,1.17,9.23,7.21
13,8,1.5,2.0,189,38.6,1.22,11.98,6.76
13,8,1.5,2.5,178,36.0,1.31,17.23,6.53
13,8,2.0,1.5,177,40.1,1.05,2.22,5.00
13,8,2.0,2.0,166,38.0,1.22,9.51,4.62
13,8,2.0,2.5,158,35.4,1.17,7.14,5.64
14,8,1.5,1.5,100,47.0,1.32,8.30,2.76
14,8,1.5,2.0,95,42.1,1.36,9.81,2.87
14,8,1.5,2.5,88,38.6,1.41,11.18,4.47
14,8,2.0,1.5,87,44.8,1.21,4.54,2.79
14,8,2.0,2.0,81,40.7,1.31,6.59,3.41
14,8,2.0,2.5,81,37.0,1.33,7.51,3.27
15,8,1.5,1.5,59,50.8,1.51,7.64,1.94
15,8,1.5,2.0,55,45.5,1.57,8.87,1.83
15,8,1.5,2.5,49,42.9,1.66,9.82,1.86
15,8,2.0,1.5,49,53.1,1.73,8.02,1.52
15,8,2.0,2.0,45,51.1,2.01,10.95,1.57
15,8,2.0,2.5,44,40.9,1.66,8.10,2.34
12,12,1.5,1.5,506,41.3,1.10,12.59,7.42
12,12,1.5,2.0,449,36.7,1.14,16.16,6.63
12,12,1.5,2.5,414,34.5,1.17,18.89,6.94
12,12,2.0,1.5,419,40.3,1.15,13.79,5.99
12,12,2.0,2.0,382,36.9,1.19,15.94,5.19
12,12,2.0,2.5,359,35.1,1.24,18.27,5.66
13,12,1.5,1.5,296,45.9,1.30,22.36,7.23
13,12,1.5,2.0,269,41.3,1.33,24.85,7.48
13,12,1.5,2.5,254,37.4,1.32,23.59,7.69
13,12,2.0,1.5,250,45.6,1.36,20.19,5.52
13,12,2.0,2.0,233,40.8,1.35,19.58,5.20
13,12,2.0,2.5,214,40.2,1.42,21.04,4.85
14,12,1.5,1.5,167,49.1,1.45,19.05,4.07
14,12,1.5,2.0,152,44.7,1.49,20.61,4.24
14,12,1.5,2.5,145,40.0,1.48,20.80,4.50
14,12,2.0,1.5,139,48.2,1.39,12.46,3.55
14,12,2.0,2.0,132,41.7,1.34,11.29,5.07
14,12,2.0,2.5,127,39.4,1.36,11.75,4.92
15,12,1.5,1.5,102,49.0,1.42,11.27,3.94
15,12,1.5,2.0,96,43.8,1.49,13.69,3.36
15,12,1.5,2.5,90,38.9,1.48,13.77,3.50
15,12,2.0,1.5,87,48.3,1.44,9.46,3.02
15,12,2.0,2.0,82,42.7,1.47,10.86,3.07
15,12,2.0,2.5,77,37.7,1.50,11.13,4.04
