th,window,stop,payoff,trades,winrate,pf,ret_pct,maxdd_pct
12,5,1.5,1.5,319,40.4,1.08,6.91,6.98
12,5,1.5,2.0,292,36.3,1.18,15.17,7.52
12,5,1.5,2.5,270,32.6,1.21,16.26,7.87
12,5,2.0,1.5,277,38.6,1.08,5.56,6.69
12,5,2.0,2.0,252,32.9,1.06,3.66,8.11
12,5,2.0,2.5,241,30.3,1.11,6.66,6.76
13,5,1.5,1.5,141,43.3,1.23,8.44,3.86
13,5,1.5,2.0,134,38.8,1.36,13.60,3.64
13,5,1.5,2.5,126,34.9,1.42,15.73,4.21
13,5,2.0,1.5,128,42.2,1.31,9.32,3.88
13,5,2.0,2.0,121,35.5,1.28,8.84,4.49
13,5,2.0,2.5,116,32.8,1.38,12.22,3.89
14,5,1.5,1.5,49,53.1,1.86,9.12,2.45
14,5,1.5,2.0,48,50.0,2.20,13.55,2.45
14,5,1.5,2.5,46,43.5,2.09,12.98,3.36
14,5,2.0,1.5,45,55.6,2.20,10.46,2.33
14,5,2.0,2.0,42,47.6,2.12,10.40,2.33
14,5,2.0,2.5,41,43.9,2.26,12.32,2.33
15,5,1.5,1.5,21,52.4,1.68,3.33,1.69
15,5,1.5,2.0,21,52.4,2.25,6.19,1.69
15,5,1.5,2.5,21,47.6,2.17,6.34,2.19
15,5,2.0,1.5,19,57.9,2.19,4.50,1.14
15,5,2.0,2.0,18,50.0,1.94,4.04,1.64
15,5,2.0,2.5,18,44.4,1.90,4.29,1.64
12,8,1.5,1.5,413,38.3,1.03,2.81,7.98
12,8,1.5,2.0,384,34.9,1.12,12.55,6.79
12,8,1.5,2.5,356,34.0,1.24,25.26,6.07
12,8,2.0,1.5,357,37.5,1.05,4.31,6.15
12,8,2.0,2.0,324,34.3,1.08,6.12,5.14
12,8,2.0,2.5,309,32.0,1.12,9.55,5.98
13,8,1.5,1.5,203,38.9,1.00,-0.17,7.25
13,8,1.5,2.0,194,33.5,1.02,1.34,6.08
13,8,1.5,2.5,182,31.9,1.14,7.69,5.25
13,8,2.0,1.5,181,37.6,1.00,-0.22,5.54
13,8,2.0,2.0,171,34.5,1.09,4.28,4.36
13,8,2.0,2.5,163,31.3,1.08,3.38,7.51
14,8,1.5,1.5,88,39.8,0.99,-0.32,6.08
14,8,1.5,2.0,85,37.6,1.20,5.06,5.84
14,8,1.5,2.5,79,32.9,1.14,3.42,6.02
14,8,2.0,1.5,81,48.1,1.48,8.96,3.12
14,8,2.0,2.0,74,41.9,1.38,7.21,3.12
14,8,2.0,2.5,72,37.5,1.38,7.46,3.62
15,8,1.5,1.5,47,44.7,1.26,3.19,3.54
15,8,1.5,2.0,46,43.5,1.60,7.64,3.54
15,8,1.5,2.5,44,38.6,1.49,6.34,3.54
15,8,2.0,1.5,44,52.3,1.78,7.70,2.31
15,8,2.0,2.0,41,43.9,1.53,5.74,2.07
15,8,2.0,2.5,40,37.5,1.42,4.93,2.04
12,12,1.5,1.5,558,38.0,1.03,3.56,7.22
12,12,1.5,2.0,516,34.1,1.10,13.88,5.67
12,12,1.5,2.5,476,32.8,1.18,24.03,7.03
12,12,2.0,1.5,480,37.5,1.14,14.37,4.49
12,12,2.0,2.0,435,34.3,1.16,14.93,5.81
12,12,2.0,2.5,409,31.3,1.13,11.63,6.29
13,12,1.5,1.5,312,38.1,1.06,4.26,8.22
13,12,1.5,2.0,292,35.6,1.25,19.56,6.59
13,12,1.5,2.5,274,32.8,1.33,26.27,6.20
13,12,2.0,1.5,271,38.7,1.22,12.99,4.42
13,12,2.0,2.0,251,34.7,1.24,14.51,4.36
13,12,2.0,2.5,234,32.1,1.26,14.74,4.22
14,12,1.5,1.5,159,40.9,1.09,3.77,6.91
14,12,1.5,2.0,146,39.7,1.37,15.25,5.32
14,12,1.5,2.5,139,34.5,1.32,13.22,5.32
14,12,2.0,1.5,133,46.6,1.48,14.63,4.18
14,12,2.0,2.0,122,38.5,1.28,8.64,3.67
14,12,2.0,2.5,116,36.2,1.41,12.52,3.46
15,12,1.5,1.5,98,37.8,0.92,-2.29,7.52
15,12,1.5,2.0,92,35.9,1.13,3.79,6.58
15,12,1.5,2.5,90,30.0,1.07,1.94,6.60
15,12,2.0,1.5,83,44.6,1.30,6.47,3.69
15,12,2.0,2.0,77,33.8,1.08,1.80,3.47
15,12,2.0,2.5,75,32.0,1.23,5.39,2.95
